city,latitude,longitude
Bellingham,48.8,-122.3833
BrownsvilleTX,25.9,-97.4333
CaribouME,46.9,-68.0167
Chicago,41.8781,-87.6298
Dallas,32.7767,-96.797
DelRio,29.3667,-100.7833
Denver,39.7392,-104.9903
Detroit,42.4167,-83.0167
ElPaso,31.8,-106.4
Fresno,36.77,-119.72
Galveston,29.3,-94.8
Houston,29.7604,-95.3698
Internat_Falls,48.5667,-93.3833
KansasCity,39.3197,-94.72
KeyLargo,25.1066,-80.43
LasVegas,36.1667,-115.2
LongBeach,33.8197,-118.15
Los_Angeles,34.0522,-118.2428
Miami,25.7617,-80.1918
Minneapolis,44.98,-93.2519
NewYorkCity,40.7128,-74.0059
Oakland,37.7297,-122.22
Peoria,40.6697,-89.68
Philadelphia,39.9526,-75.1652
Phoenix,33.4833,-112.0667
Pittsburgh,40.4406,-79.9959
Portland,45.5997,-122.5997
Salt_Lake_City,40.75,-111.8833
SanAntnnio,29.4241,-98.4936
SanDiego,32.7333,-117.1667
SanFran,37.6167,-122.3833
Seattle,47.6062,-122.3321
StLouis,38.627,-90.1994
Tucson,32.2217,-110.9258
AtlantaMI,45,-84.08
NEWPTVT,45,-73.15
Tallahassee,30.3833,-84.3667
